_id,id,name,shortdescription,description,content,studycredit,location,contact_id,level,learningoutcomes,module_tags,interests_match_score,popularity_score,estimated_difficulty,available_spots,start_date,theme_tags
693c0ce3b5ad81e6e1d1c5a9,159,Introduction to Psychology,"Brain, behavioral influence, developmental psychology, communication skills, and developmental stages.","In this module you will learn how to understand and influence your own behavior and that of others. You will be introduced to the basic theory of psychology. Topics include cognitive, biological, and developmental psychology.","In this module you will learn how to understand and influence your own behavior and that of others. You will be introduced to the basic theory of psychology. Topics include cognitive, biological, and developmental psychology.",15,['Den Bosch'],58,NLQF5,"A. You answer questions in a multiple-choice knowledge test demonstrating that you can reproduce and understand the basics of psychology. You demonstrate that you can analyze the behavior of individuals and groups within their social environment using case studies. B. You conduct a short interview with a fellow student, demonstrating that you can: 1. Use psychological literature to formulate questions about everyday behavior in order to identify protective and risk factors. 2. Possess the communication skills required to conduct an interview with an adult, including a professional opening and closing.","['brain', 'behavioral influence', 'developmental psychology', 'communication skills', 'developmental stages']",0.54,319,1,79,2025-12-24T00:00:00.000Z,['Psychology & Behavior']
693c0ce3b5ad81e6e1d1c5aa,160,Learning and Working Abroad,"International, personal development, nursing","Within the Nursing program, students increasingly choose to complete an internship abroad, where they aim to achieve professional competencies in an international internship context. Within the nursing program, a total of 2,300 internship hours are required to obtain BIG registration. This internship makes it possible to gain additional internship experience alongside the required internship hours, with greater focus and room for personal development in an international context. This could also apply to students in social work (international internship context) or physiotherapy.","Within the Nursing program, students increasingly choose to complete an internship abroad, where they aim to achieve professional competencies in an international internship context. Within the nursing program, a total of 2,300 internship hours are required to obtain BIG registration. This internship makes it possible to gain additional internship experience alongside the required internship hours, with greater focus and room for personal development in an international context. This could also apply to students in social work (international internship context) or physiotherapy.",15,['Den Bosch'],58,NLQF5,The student demonstrates professional behavior in accordance with the professional code when working with low-complexity care recipients and colleagues in the healthcare setting.,"['international', 'personal', 'development', 'nursing']",0.92,172,5,56,2025-12-20T00:00:00.000Z,"['International', 'Medical & Healthcare']"
693c0ce3b5ad81e6e1d1c5ab,161,Proactive Care Planning,"Proactive care planning, co-creation, hospital","Jeroen Bosch Hospital aims to jointly develop a module together with the Nursing program, in which students are given the opportunity to explore the hospital setting in more depth. JBZ is open to an interdisciplinary approach, making this module attractive to other programs as well (such as social work). Proactive care planning is an in-depth theme that also offers opportunities for an interdisciplinary approach.","Jeroen Bosch Hospital aims to jointly develop a module together with the Nursing program, in which students are given the opportunity to explore the hospital setting in more depth. JBZ is open to an interdisciplinary approach, making this module attractive to other programs as well (such as social work). Proactive care planning is an in-depth theme that also offers opportunities for an interdisciplinary approach.",15,['Den Bosch'],59,NLQF5,"The student applies proactive care planning within the clinical reasoning process when working with case studies involving care recipients, in a multidisciplinary manner, within the hospital setting.","['proactive', 'care planning', 'co-creation', 'hospital']",0.78,217,5,55,2025-09-23T00:00:00.000Z,['Medical & Healthcare']
693c0ce3b5ad81e6e1d1c5ac,162,Grief and Loss,"Grief & loss, palliative care & reasoning, trauma, cultural diversity","This module focuses on grief and loss from various perspectives, including palliative care. Themes such as oncology can be included (the nursing field requests an elective module in oncology) and can be explored interdisciplinarily, highlighting how different disciplines can jointly contribute to a palliative approach. In addition, the module addresses loss in a broader sense—such as parental divorce, fleeing one’s homeland, death, physical functioning, and friendships/relationships—aimed at adults as well as individuals aged 0–25, in which grief plays a role in development. From the professional field (nursing), there is a clear need for a module that pays attention to care related to oncology.","This module focuses on grief and loss from various perspectives, including palliative care. Themes such as oncology can be included (the nursing field requests an elective module in oncology) and can be explored interdisciplinarily, highlighting how different disciplines can jointly contribute to a palliative approach. In addition, the module addresses loss in a broader sense—such as parental divorce, fleeing one’s homeland, death, physical functioning, and friendships/relationships—aimed at adults as well as individuals aged 0–25, in which grief plays a role in development. From the professional field (nursing), there is a clear need for a module that pays attention to care related to oncology.",30,['Den Bosch'],58,NLQF6,"The student coordinates and (partially) independently carries out the palliative care process, individually and collaboratively, for high- and medium-complexity care recipients within the care setting, based on the process of palliative reasoning. The student understands, analyzes, and applies complex concepts and approaches to grief and loss in various contexts, at both individual and group levels. The student can design and implement interventions to promote resilience and well-being during the grieving process. The student critically reflects on their own values and attitudes in relation to supporting others experiencing grief and loss.","['grief', 'loss', 'palliative', 'care', 'reasoning', 'trauma', 'cultural', 'diversity']",0.69,454,1,54,2025-10-25T00:00:00.000Z,"['Social & Society', 'Psychology & Behavior', 'Medical & Healthcare']"
693c0ce3b5ad81e6e1d1c5ad,163,Acute Complex Care,"Acute care, complexity, hospital, rehabilitation","In this module, students can deepen their knowledge of acute, complex care within the nursing profession.","In this module, students can deepen their knowledge of acute, complex care within the nursing profession.",30,['Den Bosch'],58,NLQF6,"The student coordinates and (partially) independently carries out the nursing process, individually and collaboratively, for high- and medium-complexity care recipients in the acute and complex care setting, based on the professional code for nurses and caregivers, the prevailing vision on nursing, and the process of clinical reasoning.","['acute', 'care', 'complexity', 'hospital', 'rehabilitation']",0.4,178,5,38,2025-11-19T00:00:00.000Z,['Medical & Healthcare']
693c0ce3b5ad81e6e1d1c5ae,164,"Maternity, Child and Youth Care","Youth care, neonatology, midwifery, child care","In this module, students can deepen their knowledge of maternity, child, and youth care within the nursing profession.","In this module, students can deepen their knowledge of maternity, child, and youth care within the nursing profession.",30,['Den Bosch'],58,NLQF6,"The student coordinates and (partially) independently carries out the nursing process, individually and collaboratively, for high- and medium-complexity care recipients in the maternity, child, and youth care setting, based on the professional code for nurses and caregivers, the prevailing vision on nursing, and the process of clinical reasoning.","['youth care', 'neonatology', 'midwifery', 'child care']",0.4,493,5,39,2025-12-04T00:00:00.000Z,"['Psychology & Behavior', 'Medical & Healthcare']"
693c0ce3b5ad81e6e1d1c5af,165,"Profile-Specific Modules: Welfare & Society, Youth, Care","Youth care, mental healthcare, just and democratic communities","Profile-specific modules for Welfare & Society, Youth, and Care.","Profile-specific modules for Welfare & Society, Youth, and Care.",15,"['Breda', 'Den Bosch']",58,NLQF5,To be determined,"['youth care', 'mental', 'healthcare', 'just', 'democratic', 'communities']",0.34,170,5,76,2025-11-14T00:00:00.000Z,"['Social & Society', 'Psychology & Behavior', 'Medical & Healthcare']"
693c0ce3b5ad81e6e1d1c5b0,166,"Happy City, Happy People Design Lab","Vital communities, sustainable built environment, innovative, creative, collective, SDG-driven. Attention to Positive Health in its broad meaning.","The focus is on major societal challenges (SDG-driven) in specific locations within our region, which sets the agenda. Healthy and sustainable living together in a safe environment, physically designed to accommodate a diverse population.","The focus is on major societal challenges (SDG-driven) in specific locations within our region, which sets the agenda. Healthy and sustainable living together in a safe environment, physically designed to accommodate a diverse population.",15,['Den Bosch'],58,NLQF5,To be determined,"['vital', 'communities', 'sustainable', 'built', 'environment', 'innovative', 'creative', 'collective', 'sdg', 'driven', 'attention', 'positive', 'health', 'broad', 'meaning']",0.86,77,3,37,2025-12-27T00:00:00.000Z,"['Research & Innovation', 'Medical & Healthcare', 'Spatial & Sustainable Development', 'Social & Society']"
693c0ce3b5ad81e6e1d1c5b1,167,Building & Sustaining Vital Communities,"Vital communities, sustainable built environment, innovative, creative, collective, SDG-driven","Together with relevant stakeholders, you conceptualize and design innovative solution pathways for a neighborhood or district, addressing complex challenges related to housing, safe living, healthy living, basic living conditions, and ecological footprint, from the perspectives of policy, governance, and welfare in combination with the built environment.","Together with relevant stakeholders, you conceptualize and design innovative solution pathways for a neighborhood or district, addressing complex challenges related to housing, safe living, healthy living, basic living conditions, and ecological footprint, from the perspectives of policy, governance, and welfare in combination with the built environment.",30,['Den Bosch'],58,NLQF6,To be determined,"['vital', 'communities', 'sustainable', 'built', 'environment', 'innovative', 'creative', 'collective', 'sdg', 'driven']",0.69,298,4,66,2025-09-16T00:00:00.000Z,"['Research & Innovation', 'Spatial & Sustainable Development', 'Social & Society']"
693c0ce3b5ad81e6e1d1c5b2,168,Mental Health Care (GGZ) Practitioner,"Recovery- and strengths-based practice, living with psychological vulnerability, life-course-oriented descriptive diagnostics, guidance and support","You are state-of-the-art in knowledge, practical skill sets, and methodological competence for working in the mental health and addiction care sectors.","You are state-of-the-art in knowledge, practical skill sets, and methodological competence for working in the mental health and addiction care sectors.",30,['Den Bosch'],58,NLQF6,Assessment formats are derived from the professional competencies of the mental health care practitioner (GGZ practitioner).,"['recovery', 'strengths-based', 'practice', 'living', 'psychological', 'vulnerability', 'life-course', 'oriented', 'descriptive', 'diagnostics', 'guidance', 'support']",0.76,407,2,60,2025-09-08T00:00:00.000Z,['Psychology & Behavior']
